trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
See You Later,EKKSTACY,123319,,0.361,0.0203,11.0,-25.064,1.0,0.0555,0.925,0.00224,0.114,0.351,76.621,audio_features,1xHrPq8WvLKiO6lT94Ks2F,spotify:track:1xHrPq8WvLKiO6lT94Ks2F,https://api.spotify.com/v1/tracks/1xHrPq8WvLKiO6lT94Ks2F,https://api.spotify.com/v1/audio-analysis/1xHrPq8WvLKiO6lT94Ks2F,123320.0,4.0
She Said,FLETCHER,167810,alt z,0.649,0.758,10.0,-5.647,0.0,0.0581,0.0364,4.12e-05,0.36,0.737,120.001,audio_features,1UNWD6R5EOFklUHKZZvww2,spotify:track:1UNWD6R5EOFklUHKZZvww2,https://api.spotify.com/v1/tracks/1UNWD6R5EOFklUHKZZvww2,https://api.spotify.com/v1/audio-analysis/1UNWD6R5EOFklUHKZZvww2,167811.0,4.0
Smells Like Me,Charlie Puth,204079,pop,0.602,0.565,11.0,-6.498,1.0,0.0498,0.329,0.0,0.0622,0.609,208.038,audio_features,485bDxBvu1S5HxEunbt45X,spotify:track:485bDxBvu1S5HxEunbt45X,https://api.spotify.com/v1/tracks/485bDxBvu1S5HxEunbt45X,https://api.spotify.com/v1/audio-analysis/485bDxBvu1S5HxEunbt45X,204079.0,4.0
"So,So",Landon Conrath,197382,,0.744,0.637,8.0,-7.451,1.0,0.0307,0.117,0.00476,0.154,0.754,106.011,audio_features,7I409u7suf8LtcwU7BlxwQ,spotify:track:7I409u7suf8LtcwU7BlxwQ,https://api.spotify.com/v1/tracks/7I409u7suf8LtcwU7BlxwQ,https://api.spotify.com/v1/audio-analysis/7I409u7suf8LtcwU7BlxwQ,197382.0,4.0
Sometimes,Fly By Midnight,147852,singer-songwriter pop,0.559,0.918,2.0,-5.345,1.0,0.109,0.0893,0.0,0.171,0.522,138.981,audio_features,0UDVylzf9MHvu8kTw9toUQ,spotify:track:0UDVylzf9MHvu8kTw9toUQ,https://api.spotify.com/v1/tracks/0UDVylzf9MHvu8kTw9toUQ,https://api.spotify.com/v1/audio-analysis/0UDVylzf9MHvu8kTw9toUQ,147852.0,4.0
Space Makes Me Sad,Fiji Blue,12931,chill pop,0.557,0.429,6.0,-10.266,1.0,0.189,0.387,0.000478,0.192,0.596,90.574,audio_features,5Op3wFn328uL17aJUIGJx3,spotify:track:5Op3wFn328uL17aJUIGJx3,https://api.spotify.com/v1/tracks/5Op3wFn328uL17aJUIGJx3,https://api.spotify.com/v1/audio-analysis/5Op3wFn328uL17aJUIGJx3,136419.0,4.0
Starry Eyes,Cigarettes After Sex,206000,ambient pop,0.425,0.363,2.0,-15.32,1.0,0.0322,0.448,0.321,0.0685,0.12,100.426,audio_features,2xfRDWDKOisEXgRnYI58Tb,spotify:track:2xfRDWDKOisEXgRnYI58Tb,https://api.spotify.com/v1/tracks/2xfRDWDKOisEXgRnYI58Tb,https://api.spotify.com/v1/audio-analysis/2xfRDWDKOisEXgRnYI58Tb,206000.0,4.0
Steve,Alec Benjamin,173487,alt z,0.348,0.353,10.0,-9.012,1.0,0.0334,0.845,0.0,0.181,0.866,80.558,audio_features,211LaT5hzPOKolVtgzwWnq,spotify:track:211LaT5hzPOKolVtgzwWnq,https://api.spotify.com/v1/tracks/211LaT5hzPOKolVtgzwWnq,https://api.spotify.com/v1/audio-analysis/211LaT5hzPOKolVtgzwWnq,173487.0,3.0
Stolen Dance,Milky Chance,313684,german pop,0.879,0.565,11.0,-8.809,1.0,0.037,0.412,0.000239,0.0798,0.685,114.009,audio_features,0ZfByLXCeKchuj7zi1CJ0S,spotify:track:0ZfByLXCeKchuj7zi1CJ0S,https://api.spotify.com/v1/tracks/0ZfByLXCeKchuj7zi1CJ0S,https://api.spotify.com/v1/audio-analysis/0ZfByLXCeKchuj7zi1CJ0S,313627.0,4.0
Stumblin' In,Chris Norman,122044,classic uk pop,0.758,0.683,7.0,-11.521,1.0,0.0314,0.135,0.000227,0.345,0.924,129.251,audio_features,2Pzhx26KqgTTKnko0uC7F7,spotify:track:2Pzhx26KqgTTKnko0uC7F7,https://api.spotify.com/v1/tracks/2Pzhx26KqgTTKnko0uC7F7,https://api.spotify.com/v1/audio-analysis/2Pzhx26KqgTTKnko0uC7F7,239611.0,4.0
Stumblin' In - 2017 Remaster,Chris Norman,239611,classic uk pop,0.758,0.683,7.0,-11.521,1.0,0.0314,0.135,0.000227,0.345,0.924,129.251,audio_features,2Pzhx26KqgTTKnko0uC7F7,spotify:track:2Pzhx26KqgTTKnko0uC7F7,https://api.spotify.com/v1/tracks/2Pzhx26KqgTTKnko0uC7F7,https://api.spotify.com/v1/audio-analysis/2Pzhx26KqgTTKnko0uC7F7,239611.0,4.0
Sugar & Brownies,DHARIA,197836,,0.792,0.719,1.0,-5.123,0.0,0.257,0.168,0.0,0.0276,0.472,100.02,audio_features,16ih0TTm4REIQuYBMPTHm8,spotify:track:16ih0TTm4REIQuYBMPTHm8,https://api.spotify.com/v1/tracks/16ih0TTm4REIQuYBMPTHm8,https://api.spotify.com/v1/audio-analysis/16ih0TTm4REIQuYBMPTHm8,197837.0,4.0
Sugar Baby Love,The Rubettes,48472,classic uk pop,0.418,0.877,0.0,-4.673,1.0,0.0453,0.000414,0.00944,0.371,0.778,129.709,audio_features,3LrupU93bwJXC26eRzkWIc,spotify:track:3LrupU93bwJXC26eRzkWIc,https://api.spotify.com/v1/tracks/3LrupU93bwJXC26eRzkWIc,https://api.spotify.com/v1/audio-analysis/3LrupU93bwJXC26eRzkWIc,209973.0,4.0
Sugar Sweet,Benson Boone,169839,singer-songwriter pop,0.538,0.826,2.0,-2.945,1.0,0.255,0.0331,0.0,0.0637,0.62,170.066,audio_features,5ZzaQW3InamKZ0KdJVQ1GO,spotify:track:5ZzaQW3InamKZ0KdJVQ1GO,https://api.spotify.com/v1/tracks/5ZzaQW3InamKZ0KdJVQ1GO,https://api.spotify.com/v1/audio-analysis/5ZzaQW3InamKZ0KdJVQ1GO,169839.0,4.0
